name,platform,dependents_count,dependent_repos_count,stars,forks,contributions_count,rank,gap,reverse_gap,hidden_score,critical_fragile,staleness_years,release_count,releases_per_year,first_release_year,last_release_year,license,domain,repo_host,repo_org,status,deprecation_reason,cluster,keywords_text
bs58check,npm,1109,530,100,53,8,20,0.3202284577051886,-0.3202284577051886,0.18875017312881126,0.6521977458801296,1.538672142368241,23,2.090909090909091,2014,2024,MIT,ml,github.com,bitcoinjs,,,5,base base58 base58check bitcoin bs58 check checksum decode decoding encode encoding litecoin base58-check bitcoinjs sha256
lilconfig,npm,970,358,184,10,9,22,0.43212478132968535,-0.43212478132968535,0.2666314482032996,0.28257923202041557,1.0978781656399725,17,3.4,2020,2024,MIT,other,github.com,antonk52,,,5,cosmiconfig config configuration search nodejs typescript
hapeipons,npm,2759,54,0,0,1,15,1.7005463925709738,-1.7005463925709738,3.860943184476721,3.535072964935189,1.4893908281998631,9,9.0,2024,2024,ISC,other,github.com,kujian95,,,6,tea
react-navigation,npm,950,283,24323,5116,616,18,0.5248621768903763,-0.5248621768903763,-1.03489262050867,-2.723943287206756,2.2888432580424367,271,33.875,2016,2023,MIT,web,github.com,react-navigation,Deprecated,This package is no longer supported. Please use @react-navigation/native instead. See https://reactnavigation.org/docs/getting-started/ for usage guide,5,hacktoberfest navigation react react-native react-navigation
pbkdf2,npm,949,423,198,56,11,23,0.35035774869611513,-0.35035774869611513,0.0631667918350243,-0.15897585957884952,0.29021218343600275,25,2.0833333333333335,2014,2025,MIT,security,github.com,browserify,,,5,pbkdf2 kdf salt hash
@nestjs/passport,npm,1223,229,542,118,31,21,0.7260535817919491,-0.7260535817919491,0.397936718662028,-0.46842584253313413,0.9582477754962354,50,6.25,2018,2025,MIT,multi,github.com,nestjs,,,0,authentication javascript nest nestjs nodejs passport typescript
react-highlight-words,npm,949,235,2248,176,24,19,0.6048116023187409,-0.6048116023187409,-0.19965546830822847,-0.9243647184140297,0.9856262833675564,32,2.909090909090909,2015,2025,MIT,web,github.com,bvaughn,,,0,react reactjs react-component highlighter highlight text words matches substring occurrences search
gulp-uglify-es,npm,1042,568,6,3,0,18,0.2631720420314596,-0.2631720420314596,0.8758243111010076,3.3583658521974673,4.4517453798767965,20,4.0,2017,2021,MIT,other,gitlab.com,itayronen,,,5,minify uglify uglify-es uglify-es6 terser es es6 gulp gulpplugin
multiparty,npm,1033,419,1298,168,50,21,0.39127124836002336,-0.39127124836002336,-0.362261288651876,-0.08290374643071291,3.9644079397672827,40,4.0,2013,2022,MIT,data,github.com,pillarjs,,,5,file upload formidable stream s3 form-data javascript multipart nodejs
extract-loader,npm,948,440,319,75,17,21,0.33282762295945423,-0.33282762295945423,-0.08873813077590689,1.2471976503116244,5.620807665982204,18,3.6,2016,2020,Unlicense,web,github.com,peerigon,,,3,webpack loader extract html css extract-text-webpack-plugin mini-css-extract-plugin webpack-loader
quasar,npm,966,230,26964,3671,636,24,0.6218144941908572,-0.6218144941908572,-0.8977471097023617,-3.427742753963631,0.15058179329226556,408,37.09090909090909,2015,2025,MIT,web,github.com,quasarframework,,,0,vuejs vue quasar js phone tablet desktop spa pwa website electron android browser-extension ios javascript material material-components material-design material-theme quasar-framework server-side-rendering ssr vue-component vue-components vue3 vuejs3
@fullhuman/postcss-purgecss,npm,947,327,7977,244,85,24,0.46093449362638683,-0.46093449362638683,-0.7660773619580186,-1.810407639111231,1.1279945242984257,31,4.428571428571429,2018,2024,MIT,multi,github.com,fullhuman,,,5,css optimization-tools postcss postcss-plugin purgecss rollup-plugin webpack-plugin
conventional-commits-parser,npm,989,496,8278,731,162,23,0.2992788058642173,-0.2992788058642173,-1.0279287568545987,-2.396099115714639,0.216290212183436,61,5.545454545454546,2015,2025,MIT,data,github.com,conventional-changelog,,,5,conventional-commits-parser changelog conventional parser parsing logs git hacktoberfest history metadata tag
abab,npm,953,379,92,19,12,17,0.39976477808728506,-0.39976477808728506,0.3738607230819602,1.154045480592103,3.728952772073922,12,1.5,2015,2022,BSD-3-Clause,web,github.com,jsdom,Deprecated,Use your platform's native atob() and btoa() methods instead,5,atob btoa browser
@svgr/core,npm,946,353,10993,434,129,22,0.42734671697748583,-0.42734671697748583,-0.9110709520153988,-1.6882652653469015,2.401095140314853,45,7.5,2018,2023,MIT,web,github.com,gregberge,,,5,svgr svg react core api inline-svg loader react-native react-svg react-svg-creator react-svg-loader svg-react svg-to-react svg2react svgo webpack webpack-loader
whatwg-encoding,npm,946,437,26,13,5,20,0.33487586849917417,-0.33487586849917417,0.5700626416789822,1.2983327403813325,2.1574264202600957,10,1.25,2016,2023,MIT,other,github.com,jsdom,,,5,encoding whatwg
@types/lodash.throttle,npm,945,376,50793,30543,1814,24,0.3995497861959998,-0.3995497861959998,-1.5152908272805028,-3.564463699112117,2.1711156741957565,10,1.25,2016,2023,MIT,other,github.com,definitelytyped,,,5,definition dts hacktoberfest types typescript typescript-definitions typings
jsbn,npm,944,517,168,42,10,22,0.26110204876402987,-0.26110204876402987,-0.017621079997910183,2.714015391573486,8.898015058179329,4,0.8,2013,2017,MIT,multi,github.com,andyperlitch,,,3,biginteger bignumber big integer
rollup-plugin-string,npm,943,452,87,13,3,19,0.31887379228523693,-0.31887379228523693,0.28010735071847803,2.7447053374407706,6.872005475701574,6,1.2,2015,2019,MIT,devtools,github.com,trysound,,,3,rollup-plugin stringify string template
@iobroker/adapter-core,npm,948,891,5,7,12,20,0.026901358051169666,-0.026901358051169666,0.42951619068510805,0.6871098777550668,0.3887748117727584,46,5.75,2018,2025,MIT,other,github.com,iobroker,,,5,iobroker adapter iot
@dnd-kit/sortable,npm,942,254,16241,815,45,22,0.5679715123033735,-0.5679715123033735,-0.8151602327032842,-1.7413263188624617,1.0924024640657084,112,28.0,2021,2024,MIT,web,github.com,clauderic,,,0,drag drag-and-drop draggable droppable react sortable
@react-navigation/native-stack,npm,944,203,24323,5116,616,24,0.6658016410833643,-0.6658016410833643,-0.8241239469556099,-3.452125631371384,0.05201916495550993,224,32.0,2019,2025,MIT,web,github.com,react-navigation,,,0,react-native-component react-component react-native react-navigation ios android native stack hacktoberfest navigation react
@types/googlemaps,npm,941,275,50793,30543,1814,18,0.5331418207276597,-0.5331418207276597,-1.3152112322666594,-2.6839149975955428,4.906228610540725,112,18.666666666666668,2016,2021,MIT,web,github.com,definitelytyped,Deprecated,"Types for the Google Maps browser API have moved to @types/google.maps. Note: these types are not for the googlemaps npm package, which is a Node API.",3,definition dts hacktoberfest types typescript typescript-definitions typings
@nomicfoundation/hardhat-foundry,npm,941,170,8391,1683,439,23,0.7410547924007238,-0.7410547924007238,-0.4043425219957873,-2.9435372643173747,0.19164955509924708,14,3.5,2022,2025,MIT,multi,github.com,nomicfoundation,,,0,ethereum smart-contracts hardhat hardhat-plugin foundry blockchain dapps debugging javascript solidity task-runner tooling typescript
