metric,emotion,value,split,model,genre
mae,nostalgia,0.24791910494976496,leave_one_genre_out,MLP,classical
pearson,nostalgia,0.12399412527308926,leave_one_genre_out,MLP,classical
spearman,nostalgia,0.15345877271514283,leave_one_genre_out,MLP,classical
ece,nostalgia,0.20749422833632888,leave_one_genre_out,MLP,classical
mae,calmness,0.2753800407499977,leave_one_genre_out,MLP,classical
pearson,calmness,0.17149592772432612,leave_one_genre_out,MLP,classical
spearman,calmness,0.198924584846208,leave_one_genre_out,MLP,classical
ece,calmness,0.19787213877537235,leave_one_genre_out,MLP,classical
mae,power,0.1647197386657231,leave_one_genre_out,MLP,classical
pearson,power,-0.05926876712415197,leave_one_genre_out,MLP,classical
spearman,power,0.0326327883774208,leave_one_genre_out,MLP,classical
ece,power,0.1443587540210413,leave_one_genre_out,MLP,classical
mae,joy,0.2645927294750553,leave_one_genre_out,MLP,classical
pearson,joy,-0.018116963491620546,leave_one_genre_out,MLP,classical
spearman,joy,0.0755955135552289,leave_one_genre_out,MLP,classical
ece,joy,0.24487720403129834,leave_one_genre_out,MLP,classical
mae,tension,0.20000133208740006,leave_one_genre_out,MLP,classical
pearson,tension,0.04217847671849555,leave_one_genre_out,MLP,classical
spearman,tension,0.10765764593664037,leave_one_genre_out,MLP,classical
ece,tension,0.1763930627438161,leave_one_genre_out,MLP,classical
mae,sadness,0.2978413267707023,leave_one_genre_out,MLP,classical
pearson,sadness,0.18074444219637506,leave_one_genre_out,MLP,classical
spearman,sadness,0.16480209080668926,leave_one_genre_out,MLP,classical
ece,sadness,0.2305706177378199,leave_one_genre_out,MLP,classical
mae,macro,0.23187635362484965,leave_one_genre_out,MLP,classical
pearson,macro,0.0640321119371513,leave_one_genre_out,MLP,classical
spearman,macro,0.09830842972551773,leave_one_genre_out,MLP,classical
ece,macro,0.1957401074809222,leave_one_genre_out,MLP,classical
topk_overlap,macro,0.44,leave_one_genre_out,MLP,classical
mae,amazement,0.07688711348225262,leave_one_genre_out,BaselineMean,electronic
pearson,amazement,,leave_one_genre_out,BaselineMean,electronic
spearman,amazement,,leave_one_genre_out,BaselineMean,electronic
ece,amazement,0.021030982455777725,leave_one_genre_out,BaselineMean,electronic
mae,solemnity,0.13884538742375926,leave_one_genre_out,BaselineMean,electronic
pearson,solemnity,,leave_one_genre_out,BaselineMean,electronic
spearman,solemnity,,leave_one_genre_out,BaselineMean,electronic
ece,solemnity,0.08658156716126819,leave_one_genre_out,BaselineMean,electronic
mae,tenderness,0.15066245886178944,leave_one_genre_out,BaselineMean,electronic
pearson,tenderness,,leave_one_genre_out,BaselineMean,electronic
spearman,tenderness,,leave_one_genre_out,BaselineMean,electronic
ece,tenderness,0.13683422958465855,leave_one_genre_out,BaselineMean,electronic
mae,nostalgia,0.1815446235822397,leave_one_genre_out,BaselineMean,electronic
pearson,nostalgia,,leave_one_genre_out,BaselineMean,electronic
spearman,nostalgia,,leave_one_genre_out,BaselineMean,electronic
ece,nostalgia,0.15453840881349926,leave_one_genre_out,BaselineMean,electronic
mae,calmness,0.1949849794725359,leave_one_genre_out,BaselineMean,electronic
pearson,calmness,,leave_one_genre_out,BaselineMean,electronic
spearman,calmness,,leave_one_genre_out,BaselineMean,electronic
ece,calmness,0.017351192143773453,leave_one_genre_out,BaselineMean,electronic
mae,power,0.15432508732473577,leave_one_genre_out,BaselineMean,electronic
pearson,power,,leave_one_genre_out,BaselineMean,electronic
spearman,power,,leave_one_genre_out,BaselineMean,electronic
ece,power,0.0926480178143381,leave_one_genre_out,BaselineMean,electronic
mae,joy,0.19511112791029364,leave_one_genre_out,BaselineMean,electronic
pearson,joy,,leave_one_genre_out,BaselineMean,electronic
spearman,joy,,leave_one_genre_out,BaselineMean,electronic
ece,joy,0.006242764486580399,leave_one_genre_out,BaselineMean,electronic
mae,tension,0.21269938030562485,leave_one_genre_out,BaselineMean,electronic
pearson,tension,,leave_one_genre_out,BaselineMean,electronic
spearman,tension,,leave_one_genre_out,BaselineMean,electronic
ece,tension,0.17667117664448667,leave_one_genre_out,BaselineMean,electronic
mae,sadness,0.1309312098411671,leave_one_genre_out,BaselineMean,electronic
pearson,sadness,,leave_one_genre_out,BaselineMean,electronic
spearman,sadness,,leave_one_genre_out,BaselineMean,electronic
ece,sadness,0.06775437711214682,leave_one_genre_out,BaselineMean,electronic
mae,macro,0.15955459646715534,leave_one_genre_out,BaselineMean,electronic
pearson,macro,,leave_one_genre_out,BaselineMean,electronic
spearman,macro,,leave_one_genre_out,BaselineMean,electronic
ece,macro,0.08440585735739212,leave_one_genre_out,BaselineMean,electronic
topk_overlap,macro,0.36666666666666664,leave_one_genre_out,BaselineMean,electronic
mae,amazement,0.13241084469220543,leave_one_genre_out,Ridge,electronic
pearson,amazement,-0.011084169870722419,leave_one_genre_out,Ridge,electronic
spearman,amazement,-0.0477671800049975,leave_one_genre_out,Ridge,electronic
